posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
PSICÓLOGO (A),UNIDAD DE GESTION EDUCATIVA LOCAL UGEL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,8,"S/. 2,764.19",26/02/2025,11/03/2025,b0e7984a-f748-4837-b6fd-6343d60aa6f9,2025-02-27 02:32:51.627021
COORDINADOR(A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTION EDUCATIVA LOCAL UGEL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,8,"S/. 1,614.19",26/02/2025,11/03/2025,34ffb04c-cb85-4435-93cd-e5fe43b4f242,2025-02-27 02:32:51.627021
PROFESIONAL III PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,UNIDAD DE GESTION EDUCATIVA LOCAL UGEL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,3,"S/. 3,064.19",26/02/2025,11/03/2025,81d840f1-7a8b-4a76-9184-8c3a805d8360,2025-02-27 02:32:51.627021
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL UGEL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,3,"S/. 1,414.19",26/02/2025,11/03/2025,0426fc2d-24a3-43b6-8bc8-1cfc8ea5fb04,2025-02-27 02:32:51.627021
ANALISTA I,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,764.19",26/02/2025,11/03/2025,aa21511f-892d-4b2e-ba77-00699523d8d3,2025-02-27 02:32:51.627021
ASISTENTE ADMINISTRATIVO I,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,264.19",26/02/2025,11/03/2025,7547c0a8-4735-4a45-ad34-c4515d6dbc72,2025-02-27 02:32:51.627021
LICENCIADA/O EN ENFERMERÍA,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,864.19",26/02/2025,11/03/2025,8efccb21-68b3-4514-b4e3-6caa8c4c2010,2025-02-27 02:32:51.627021
LICENCIADA/O EN ENFERMERÍA,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,264.19",26/02/2025,11/03/2025,386129a0-8e43-463c-9bec-ebfa3a4c4b12,2025-02-27 02:32:51.627021
LICENCIADA/O EN ENFERMERÍA,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,064.19",26/02/2025,11/03/2025,c6571908-bc26-443b-8d36-4f1baaf9ff5d,2025-02-27 02:32:51.627021
MEDICO CIRUJANO,UNIDAD EJECUTORA SALUD HUAYGAYOC-BAMBAMARCA,CAJAMARCA - BAMBAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 5,464.19",26/02/2025,11/03/2025,1e9ac32e-278d-45b7-8615-57cf993ffacd,2025-02-27 02:32:51.627021
