posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
PSICOLO,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,34,"S/. 2,764.19",18/02/2025,03/03/2025,f0002799-b68b-4363-8f9d-46135010b756,2025-02-18 18:11:46.117560
PROFESIONAL II,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 3,064.19",18/02/2025,03/03/2025,ac7bea2d-f972-44ee-8417-db99a5550e86,2025-02-18 18:11:46.117560
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,12,"S/. 1,414.19",18/02/2025,03/03/2025,b09decf5-9d85-4aea-8b52-4700c94b0b23,2025-02-18 18:11:46.117560
PROFESIONAL I,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 3,064.19",18/02/2025,03/03/2025,22f2b094-8cea-4e15-b1ff-1557452cda76,2025-02-18 18:11:46.117560
COORDINADOR DE INNOVACION Y SOPORTE TECNOLOGICO,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,34,"S/. 1,614.19",18/02/2025,03/03/2025,1fac38c3-0c12-42c0-8d8d-a77230a3ac2d,2025-02-18 18:11:46.117560
UN (01) ESPECIALISTA EN INOCUIDAD ALIMENTARIA Y SALUD AMBIENTAL- REGIÓN CAJAMARCA,MINISTERIO DE SALUD,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 8,000.00",18/02/2025,03/03/2025,03bfd0fd-41b7-49ca-992a-1f5b80a5a914,2025-02-18 18:11:46.117560
JEFE  PARA LA UNIDAD FORMULADORA,MUNICIPALIDAD DISTRITAL DE LA ENCAÑADA,CAJAMARCA - ENCAÑADA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,500.00",18/02/2025,03/03/2025,e23ebda8-811e-4b8b-be15-fb5a4be113eb,2025-02-18 18:11:46.117560
PERSONAL DE VIGILANCIA,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,414.19",18/02/2025,03/03/2025,d5608431-0a58-4c5c-bb86-5d9be32a3812,2025-02-18 18:11:46.117560
PROFESIONAL EN TECNOLOGIA MEDICA,UNIDAD DE GESTION EDUCATIVA LOCAL CHOTA,CAJAMARCA - CHOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,964.19",18/02/2025,03/03/2025,2f639032-914d-481a-b9f3-a880c48e8f23,2025-02-18 18:11:46.117560
JEFE PARA LA UNIDAD DE EJECUCION DE OBRAS Y MANTENIMIENTO,MUNICIPALIDAD DISTRITAL DE LA ENCAÑADA,CAJAMARCA - ENCAÑADA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,500.00",18/02/2025,03/03/2025,c82b9167-b7a1-427e-8c47-32d3d7f4aa55,2025-02-18 18:11:46.117560
