posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
ASISTENTE ADMINISTRATIVO - TESORERÍA,MUNICIPALIDAD DISTRITAL DE SOLOCO,AMAZONAS - SOLOCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",06/03/2025,19/03/2025,8b5a5a81-ab60-40a8-9599-b7d0822866c8,2025-03-07 02:35:27.773160
ESPECIALISTA EN INGENIERÍA,MUNICIPALIDAD DISTRITAL DE SOLOCO,AMAZONAS - SOLOCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",06/03/2025,19/03/2025,4c78b386-af58-41b3-b9b6-b0230ed514e5,2025-03-07 02:35:27.773160
RESPONSABLE DE REGISTRO CIVIL,MUNICIPALIDAD DISTRITAL DE SOLOCO,AMAZONAS - SOLOCO,276-1,1,"S/. 1,511.27",06/03/2025,19/03/2025,41fda606-fdb7-4c42-abd1-b9a0072ad319,2025-03-07 02:35:27.773160
CAJERO,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,800.00",05/03/2025,18/03/2025,9e23faff-6134-4165-becf-828350ab4ba0,2025-03-07 02:35:27.773160
INSPECTOR MUNICIPAL DE TRANSITO,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,800.00",05/03/2025,18/03/2025,4bd27442-cbd9-4639-a5aa-369b73118d59,2025-03-07 02:35:27.773160
"JEFE DE DESARROLLO URBANO, RURAL Y CATASTRO",MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",05/03/2025,18/03/2025,f83f6589-5761-4811-97f2-f2410f92bb65,2025-03-07 02:35:27.773160
JEFE DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",05/03/2025,18/03/2025,cee9743f-8eb7-4465-b409-9536d44fdf7a,2025-03-07 02:35:27.773160
JEFE DE OPERACIONES,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,500.00",05/03/2025,18/03/2025,52db0f30-65fe-47db-ba54-dfae227d2ecd,2025-03-07 02:35:27.773160
JEFE DE SEGURIDAD CIUDADANA Y FISCALIZACION,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",05/03/2025,18/03/2025,42d0559e-cdb8-40a5-9aca-fc69a80a0d58,2025-03-07 02:35:27.773160
RESPONSABLE DE IMAGEN INSTITUCIONAL,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,500.00",05/03/2025,18/03/2025,4175656a-465e-4fd2-a8a3-b424368f6067,2025-03-07 02:35:27.773160
TECNICO EN FISCALICACION POSTERIOR,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,800.00",05/03/2025,18/03/2025,551e659b-621b-4c22-a663-e078c7b74d6d,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,300.00",05/03/2025,18/03/2025,60bb996d-a3f7-43b9-b293-4e9515a0d712,2025-03-07 02:35:27.773160
ESPECIALISTA EN ADMINISTRACIÓN,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,200.00",05/03/2025,18/03/2025,a19eb1c3-38fd-4f68-8119-14f2ab1cfe47,2025-03-07 02:35:27.773160
ESPECIALISTA EN INGENIERÍA,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,200.00",05/03/2025,18/03/2025,0b8fdb83-4bc4-4d11-a577-3a4a436eb1b6,2025-03-07 02:35:27.773160
GERENTE DE SERVICIOS MUNICIPALES Y GESTIÓN AMBIENTAL,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,700.00",05/03/2025,18/03/2025,fc87be4e-590d-44b8-9a3d-da03fc6b1020,2025-03-07 02:35:27.773160
JEFE DE LA OFICINA GENERAL DE ADMINISTRACIÓN,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,700.00",05/03/2025,18/03/2025,df1e49e1-99f0-417e-aef7-b3a14ff9aa76,2025-03-07 02:35:27.773160
OPERADOR DE MAQUINARIA,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,200.00",05/03/2025,18/03/2025,248f3e5f-9148-4dc8-95f6-8b47fee93f82,2025-03-07 02:35:27.773160
SECRETARIA,MUNICIPALIDAD DISTRITAL YAMBRASBAMBA,AMAZONAS - YAMBRASBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,300.00",05/03/2025,18/03/2025,757bfac4-8d97-49af-9c61-9b6bb6f0424e,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO- ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE CHISQUILLA,AMAZONAS - CHISQUILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,600.00",05/03/2025,18/03/2025,28776812-9ec1-429a-9c71-fa7d8c6a0e79,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO - TESORERÍA,MUNICIPALIDAD DISTRITAL DE CHISQUILLA,AMAZONAS - CHISQUILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,600.00",05/03/2025,18/03/2025,8225ac08-aeee-4190-afa5-2062583a41d9,2025-03-07 02:35:27.773160
ASISTENTE DE PRESUPUESTO,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,000.00",05/03/2025,18/03/2025,873e6582-daf3-4e17-a6a7-4a07b596f301,2025-03-07 02:35:27.773160
TECNICO EN ESTADISTICA I,DIRECCION REGIONAL AGRARIA AMAZONAS,AMAZONAS - CHACHAPOYAS,276-01,1,"S/. 2,589.00",05/03/2025,18/03/2025,9c7c0a7c-4e18-401b-ac0c-a5d078f5f5fe,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO (ABASTECIMIENTO),MUNICIPALIDAD DISTRITAL DE LONGAR,AMAZONAS - LONGAR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,950.00",05/03/2025,18/03/2025,91ed2592-db46-4305-9a5f-94bd9956dd4b,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD PROVINCIAL DE ROD DE MENDO,AMAZONAS - SAN NICOLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,000.00",05/03/2025,18/03/2025,492b3d3a-3f2d-43ca-93e4-66939743801b,2025-03-07 02:35:27.773160
TECNICO ADMINISTRATIVO III,DIRECCION REGIONAL AGRARIA AMAZONAS,AMAZONAS - CHACHAPOYAS,276-01,1,"S/. 2,597.00",05/03/2025,18/03/2025,7d817fd7-7ff3-49f5-bf29-27b7c944141b,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO - TESORERIA,MUNICIPALIDAD DISTRITAL DE BALSAS,AMAZONAS - BALSAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,661.80",05/03/2025,18/03/2025,26263345-5209-47c1-a885-94c76dc9ba10,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE BALSAS,AMAZONAS - BALSAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,661.00",05/03/2025,18/03/2025,41ed83d8-5352-42a2-a1f7-60aa1bb88f23,2025-03-07 02:35:27.773160
ASISTENTE ADMINISTRATIVO (TESORERÍA),MUNICIPALIDAD DISTRITAL DE SONCHE,AMAZONAS - SONCHE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,998.00",05/03/2025,18/03/2025,caca7c28-9d05-43ff-aa86-d48aef8e476b,2025-03-07 02:35:27.773160
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS TRANSITORIO: TÉCNICO DEPORTIVO CAS DE NÚCLEO DE LA INICIATIVA PEDAGÓGICA WIÑAQ, DE LA IMPLEMENTACIÓN DE LA INICIATIVA PEDAGÓGICA WIÑAQ, DE LA UNIDAD DE GESTIÓN EDUCATIVA LOCAL – UGEL BAGUA.",UNIDAD DE GESTION EDUCATIVA BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 3,364.19",04/03/2025,17/03/2025,0f000101-aa82-42d8-a12f-040916b80913,2025-03-07 02:35:27.773160
TÉCNICO DE SERVICIO.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 1,464.19",03/03/2025,14/03/2025,861ff860-627b-48a7-b0fc-dd77f6ef0737,2025-03-07 02:35:27.773160
ASISTENTE DE ARCHIVO,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-059,1,"S/. 1,700.00",03/03/2025,14/03/2025,f21adcfd-1e78-4df2-b3b5-9e241b87e410,2025-03-07 02:35:27.773160
