posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
ESPECIALISTA EN PROMOCIÓN SOCIAL,DIRECCION REGIONAL DE YAKU TARPUY PARA LA LUCHA CONTRA LA POBREZA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,264.19",03/03/2025,14/03/2025,ce64804a-35b2-41e4-8db8-7614d58dfcc4,2025-03-05 02:34:14.367958
CONTADOR II,GERENCIA SUB REGIONAL TAYACAJA,HUANCAVELICA - PAMPAS,276-002,1,"S/. 2,815.00",03/03/2025,14/03/2025,996040ff-e3e2-4ea8-afaf-b657e546cda9,2025-03-05 02:34:14.367958
TÉCNICO EN ARTES GRÁFICAS II (CODIGO DE AIRHSP – 000453),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,689.00",03/03/2025,14/03/2025,ab9825ac-8cf7-49d7-b868-733666bcfdad,2025-03-05 02:34:14.367958
TÉCNICO (CODIGO DE AIRHSP – 000455),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,689.00",03/03/2025,14/03/2025,253def46-76bc-4abe-b6fb-62dc0857f39b,2025-03-05 02:34:14.367958
TÉCNICO (CODIGO DE AIRHSP – 000352),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,680.00",03/03/2025,14/03/2025,98fb4689-74f8-4494-b3db-af941a2c2676,2025-03-05 02:34:14.367958
OPERADOR DE SERVICIOS GENERALES (CODIGO DE AIRHSP – 000456),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,680.00",03/03/2025,14/03/2025,c3a25e26-be4f-4d9f-a29d-478bd9c4a208,2025-03-05 02:34:14.367958
ESPECIALISTA EN RECURSOS HUMANOS I (CODIGO DE AIRHSP – 000356),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,833.00",03/03/2025,14/03/2025,67bb39e2-354f-4668-8974-418cdaf3e9b3,2025-03-05 02:34:14.367958
ESPECIALISTA ADMINISTRATIVO I (CODIGO DE AIRHSP – 000377),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,833.00",03/03/2025,14/03/2025,28f42b56-6845-408a-8d99-99e67a44a3f7,2025-03-05 02:34:14.367958
ESPECIALISTA (CODIGO DE AIRHSP – 000401),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,805.00",03/03/2025,14/03/2025,58074a17-2695-4795-886b-20efad0180f3,2025-03-05 02:34:14.367958
ESPECIALISTA (CODIGO DE AIRHSP – 000357),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,833.00",03/03/2025,14/03/2025,7498ddc6-99a5-4c01-ab8d-edfb0c423953,2025-03-05 02:34:14.367958
CHOFER III (CODIGO DE AIRHSP – 000454),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,689.00",03/03/2025,14/03/2025,1e81e3ff-42aa-4324-aeb1-c6295a4aeb5d,2025-03-05 02:34:14.367958
ASISTENTE ADMINISTRATIVO II (CODIGO DE AIRHSP – 000349),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,805.00",03/03/2025,14/03/2025,99f2159f-77af-4ee3-a517-04013e92ad08,2025-03-05 02:34:14.367958
ANALISTA (CODIGO DE AIRHSP – 000376),UNIVERSIDAD NACIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-003,1,"S/. 2,833.00",03/03/2025,14/03/2025,c6ab48de-c113-4f9e-a531-c0b0454fa011,2025-03-05 02:34:14.367958
GESTORES DE DESARROLLO SOCIAL,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-058,2,"S/. 3,000.00",03/03/2025,14/03/2025,d07be0b7-8fa3-427d-9bda-5e6ee35d0cef,2025-03-05 02:34:14.367958
TECNICO EN INGENIERÍA II,GERENCIA SUB REGIONAL TAYACAJA,HUANCAVELICA - PAMPAS,276-002,1,"S/. 2,678.00",03/03/2025,14/03/2025,286bc596-27a0-4002-9d45-f9c664e90f6f,2025-03-05 02:34:14.367958
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,HUANCAVELICA - CASTROVIRREYNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-028,1,"S/. 3,000.00",03/03/2025,14/03/2025,f7467f85-db52-41f2-9e6c-fd52402f5fac,2025-03-05 02:34:14.367958
ESPECIALISTA EN RECURSOS HUMANOS,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",28/02/2025,13/03/2025,ee48f93e-2e5c-4968-8c40-b0b5d5a06df9,2025-03-05 02:34:14.367958
QUIMICO FARMACEUTICO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,164.19",28/02/2025,13/03/2025,b28e3ee8-e35c-41e1-ab39-4c0f76f9bad2,2025-03-05 02:34:14.367958
INGENIERO ELECTRONICO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,764.19",28/02/2025,13/03/2025,d10875f4-281c-4230-ad7c-e2822de07206,2025-03-05 02:34:14.367958
INGENIERO AMBIENTAL,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,264.19",28/02/2025,13/03/2025,aaac2f24-1c09-4258-8689-895f9d28dcc7,2025-03-05 02:34:14.367958
BIOLOGO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,164.19",28/02/2025,13/03/2025,ea8ad34b-e199-45ef-8204-982e62e0eca4,2025-03-05 02:34:14.367958
PROGRAMADOR LOGISTICO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,264.19",28/02/2025,13/03/2025,2fe46e4f-f4a9-4c4f-9f5c-3cffa6d8d155,2025-03-05 02:34:14.367958
BIOLOGO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - COLCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 3,164.19",28/02/2025,13/03/2025,161c39b2-505e-4d67-a9a5-55c95f33ed18,2025-03-05 02:34:14.367958
TECNOLOGO MEDICO RADIOLOGO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - DANIEL HERNANDEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,264.19",28/02/2025,13/03/2025,8d1559b4-f270-45e9-ad2a-be5f0c26c974,2025-03-05 02:34:14.367958
OBSTETRA,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - HUACHOCOLPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,164.00",28/02/2025,13/03/2025,11a93de9-663e-48cd-a1fe-2a6dde0bfa33,2025-03-05 02:34:14.367958
ENFERMERA/O,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - SALCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,164.00",28/02/2025,13/03/2025,b783414f-f8c1-42c7-af72-9db3048f213a,2025-03-05 02:34:14.367958
MEDICO CIRUJANO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - ACRAQUIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 5,464.19",28/02/2025,13/03/2025,4e595791-5d8b-4944-a08d-b16e27fa5aeb,2025-03-05 02:34:14.367958
PUESTO LOGISTICA ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CUSICANCHA,HUANCAVELICA - SAN ANTONIO DE CUSICANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,069.00",27/02/2025,12/03/2025,a5f70b1c-7eef-40c2-bed2-d04b92e8ab58,2025-03-05 02:34:14.367958
PUESTO INFRAESTRUCTURA DESARROLLO URBANO,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CUSICANCHA,HUANCAVELICA - SAN ANTONIO DE CUSICANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,414.00",27/02/2025,12/03/2025,88fcabea-961b-44ca-a505-6d186175aaeb,2025-03-05 02:34:14.367958
