posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
COORDINADOR(A) DE COMUNICACION E IMAGEN POR NECESIDAD TRANSITORIA,UNIDAD DE GESTION EDUCATIVA LOCAL SAN MARCOS - UGEL SAN MARCOS,CAJAMARCA - PEDRO GALVEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 2,164.19",05/03/2025,18/03/2025,f845d53a-aa29-45c7-b623-ab86f85884ce,2025-03-06 02:35:07.905588
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 4,000.00",05/03/2025,18/03/2025,e743cd70-42d5-481e-a82a-1893c326284a,2025-03-06 02:35:07.905588
ESPECIALISTA EN TESORERIA,UNIDAD DE GESTION EDUCATIVA LOCAL SAN MARCOS - UGEL SAN MARCOS,CAJAMARCA - PEDRO GALVEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 2,564.19",05/03/2025,18/03/2025,aa84860a-3dbf-4945-9342-7f977a13447b,2025-03-06 02:35:07.905588
EJECUTOR COACTIVO,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA - CONTUMAZA,276-1,1,"S/. 3,800.00",04/03/2025,17/03/2025,5ce54c39-60cd-47d1-94ea-30735fea75a5,2025-03-06 02:35:07.905588
ESPECIALISTA EN PROCESOS LABORALES Y DISCIPLINARIOS,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA - CONTUMAZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,500.00",04/03/2025,17/03/2025,94cf389d-3754-4133-a3a4-35f5dbd8a04c,2025-03-06 02:35:07.905588
ASISTENTE/A DE PROGRAMAS SOCIALES,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA - CONTUMAZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,500.00",04/03/2025,17/03/2025,8b6a9d0e-9452-4d9e-9ea8-31dddf552ec0,2025-03-06 02:35:07.905588
ASISTENTE TECNICO EN GESTIÓN AMBIENTAL,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA - CONTUMAZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,500.00",04/03/2025,17/03/2025,9061e31e-d2e5-493e-b339-b537f29dd488,2025-03-06 02:35:07.905588
SERENO A PIE,MUNICIPALIDAD PROVINCIAL DE CONTUMAZA,CAJAMARCA - CONTUMAZA,728-1,1,"S/. 1,500.00",04/03/2025,17/03/2025,6828f598-f5a4-49dd-9738-5a7f209cc68c,2025-03-06 02:35:07.905588
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,10,"S/. 1,614.19",03/03/2025,14/03/2025,4abcab44-9fea-4c9f-89ad-74d69e9a8049,2025-03-06 02:35:07.905588
PROFESIONAL III PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 3,064.19",03/03/2025,14/03/2025,a167d6a1-cb55-4285-bf6e-bf2688145d2f,2025-03-06 02:35:07.905588
PERSONAL DE LIMPIEZA Y MANTENIMIENTO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,8,"S/. 1,414.19",03/03/2025,14/03/2025,4abf2c20-c68a-4075-9245-23836ffe1965,2025-03-06 02:35:07.905588
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,12,"S/. 1,414.19",03/03/2025,14/03/2025,33ad0373-8084-44aa-8537-09f22121288d,2025-03-06 02:35:07.905588
PSICOLOGO (A),UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,11,"S/. 2,764.19",03/03/2025,14/03/2025,45352895-9841-474c-90ca-a3dd70202236,2025-03-06 02:35:07.905588
"ROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA, OCUPACIONAL O DE LENGUAJE PARA CEBE",UNIDAD DE GESTIÓN EDUCATIVA LOCAL UGEL CAJABAMBA,CAJAMARCA - CAJABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,964.19",03/03/2025,14/03/2025,30581254-2480-41af-8600-9cac68922943,2025-03-06 02:35:07.905588
MONITOR DE CAMPO HABILITADO Y COLEGIADO,UNIDAD EJECUTORA 108 PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0001,1,"S/. 6,500.00",03/03/2025,14/03/2025,68902834-1ac4-4c78-87fc-280220961000,2025-03-06 02:35:07.905588
JEFE DE LA UNIDAD DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,ed4ed503-aeac-453b-9e85-300f850cc56b,2025-03-06 02:35:07.905588
