posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
PROFESIONAL II PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,UNIDAD DE GESTION EDUCATIVA LOCAL - HUARMEY UGEL - HUARMEY,ANCASH - HUARMEY,D. LEG 1057-03,1,"S/. 3,064.19",22/04/2025,05/05/2025,f02b6f6e-2288-47d0-86e7-a7a373ee3f27,2025-04-22 08:22:43.477640
SECRETARIO/A DE JUZGADO - PROTECCIÓN,PODER JUDICIAL,ANCASH - INDEPENDENCIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-37,1,"S/. 3,850.00",22/04/2025,05/05/2025,4750fe4b-81d4-44db-99ec-88cd3fe2bdfa,2025-04-22 08:22:43.477640
DEFENSOR PUBLICO EN EL NUEVO CODIGO PROCESAL PENAL,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,ANCASH - OCROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-326,1,"S/. 5,264.19",22/04/2025,05/05/2025,6b8a451d-fbfa-4754-a396-aed2f8b68744,2025-04-22 08:22:43.477640
DEFENSOR PUBLICO DE DEFENSA DE VICTIMAS SNEJ,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,ANCASH - CARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-336,1,"S/. 7,264.19",22/04/2025,05/05/2025,a3960ccf-8299-4aad-a939-97a35560d9c5,2025-04-22 08:22:43.477640
AUXILIAR ADMINISTRATIVO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,ANCASH - HUARAZ,728-7,1,"S/. 3,401.11",21/04/2025,02/05/2025,cf82c09a-8658-4e40-bc91-c17341596384,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,31997fe7-e1b8-4e12-a944-68731315ca33,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,d308ac0e-c338-449a-b05e-333594d6c038,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,78aa2b3d-bb1b-4537-85cb-b6bd4408a055,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,c517581d-6f09-4699-a972-3c61a728aef6,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,2,"S/. 4,822.11",16/04/2025,29/04/2025,9889e784-de5c-4aaa-8782-0cc8b7ea765e,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,35ebf487-8e9d-4b3c-afcc-b1d7247834b6,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARAZ,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,f8ec3e13-976b-432b-a55b-a01f511bb852,2025-04-22 08:22:43.477640
TECNICO ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA LOCAL DE HUARAZ,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,764.19",16/04/2025,29/04/2025,2446e9af-8131-4920-920a-2dd9620c3cae,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA LOCAL DE HUARAZ,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,264.19",16/04/2025,29/04/2025,e439029c-02f4-46ca-95f9-9a2e1346120a,2025-04-22 08:22:43.477640
SECRETARIO/A JUDICIAL,PODER JUDICIAL,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (SUPLENCIA)-36,1,"S/. 2,972.00",16/04/2025,29/04/2025,0e28dd1c-a5ee-49e5-87bb-a6f5aa078644,2025-04-22 08:22:43.477640
RELATOR DE SALA,PODER JUDICIAL,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (SUPLENCIA)-35,1,"S/. 3,722.00",16/04/2025,29/04/2025,caf7a0a2-c182-4c24-8647-c0667d6090d3,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - INDEPENDENCIA,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,92668c8e-c7de-4bcb-92a5-880c7a78ed4a,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - INDEPENDENCIA,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,2a986628-8c8b-4f61-8962-df4e3014a3ef,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - INDEPENDENCIA,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,4e195a00-ebcb-4d84-b4a8-9ccd9240bb98,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - AIJA,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,e5606f33-cb16-4e15-ab86-4d3371b54043,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - LLAMELLIN,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,2e14f784-6ecc-4d97-b0e2-4ca49e778a8a,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - CHACAS,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,8a19b690-c4f0-4ef9-8e9d-d15c3c792e74,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - CARHUAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,ce07612a-383d-474c-a9d4-8c32d02d1fe4,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - CARHUAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,4ad1bf06-fee5-481d-a813-b76f27ec7417,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - SAN LUIS,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,ee467c61-4f07-4379-92a3-995c3f0a0e35,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - HUARI,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,226f9660-361d-4d26-a741-d76e18e9e2d5,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - SAN MARCOS,728-003,2,"S/. 4,822.11",16/04/2025,29/04/2025,97490fbf-1a05-45a9-81a7-1c4a11e3cb71,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - SAN MARCOS,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,d4bea62b-e84a-406b-9359-52c105c60f29,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - SAN MARCOS,728-003,2,"S/. 4,051.11",16/04/2025,29/04/2025,d8351ed3-63e7-4d22-a31f-023ec06363d0,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - CARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,10d84983-ff28-4432-b725-b1a2bd06ee9e,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - CARAZ,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,d112d0e2-1e5b-45d8-b35f-4fc533bdd1d9,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - POMABAMBA,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,7a5ea780-26a8-443a-a274-3c5bc5c44f5a,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO (CONDUCTOR),MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - POMABAMBA,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,be8a4703-cb79-4f76-96bc-a9375360af25,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - RECUAY,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,5296310e-f140-4b14-b501-d29c23910a03,2025-04-22 08:22:43.477640
ASISTENTE EN FUNCIÓN FISCAL,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - SIHUAS,728-003,1,"S/. 4,822.11",16/04/2025,29/04/2025,853459aa-242a-4cf1-982b-53ae8b49615f,2025-04-22 08:22:43.477640
ASISTENTE ADMINISTRATIVO,MINISTERIO PUBLICO-GERENCIA GENERAL,ANCASH - YUNGAY,728-003,1,"S/. 4,051.11",16/04/2025,29/04/2025,7427888a-c838-4cbf-95b1-39f9089192c0,2025-04-22 08:22:43.477640
TÉCNICO ASISTENCIAL - PLAZA AIRHSP N° 000930,DIRECCION REGIONAL DE SALUD ANCASH,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,800.00",15/04/2025,28/04/2025,a3a96eb0-f5ea-4f7e-ad9d-37833e6e5f5b,2025-04-22 08:22:43.477640
ENFERMERA/O  ESPECIALISTA - PLAZA  AIRHSP Nº 001042,DIRECCION REGIONAL DE SALUD ANCASH,ANCASH - NUEVO CHIMBOTE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,500.00",15/04/2025,28/04/2025,70be3006-ce00-4966-972c-e1baf58ea7a7,2025-04-22 08:22:43.477640
MEDICO - PLAZA AIRHSP Nº 000983,DIRECCION REGIONAL DE SALUD ANCASH,ANCASH - NUEVO CHIMBOTE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,200.00",15/04/2025,28/04/2025,0e8f7ed5-1d5d-4e16-97f1-af8821c93a55,2025-04-22 08:22:43.477640
MEDICO - PLAZA AIRHSP Nº 000994,DIRECCION REGIONAL DE SALUD ANCASH,ANCASH - NUEVO CHIMBOTE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,200.00",15/04/2025,28/04/2025,1beff8bb-7099-4b73-abd1-4c4ce64ed3be,2025-04-22 08:22:43.477640
