posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
JEFE DE LA UNIDAD DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,2ac8d63c-7c9b-4c1e-a3c0-af28030f0d72,2025-03-01 02:37:34.134480
JEFE DE LA UNIDAD EJECUTORA DE INVERSIONES UEI,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,a81e8490-05c0-47d3-a628-be38b86c9a25,2025-03-01 02:37:34.134480
JEFE DE PLANIFICACION,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,594ffe60-cd0f-44bd-afab-95fa15938728,2025-03-01 02:37:34.134480
JEFE DE PRESUPUESTO,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,bb9ee641-8b07-4343-8142-c590a0763ce5,2025-03-01 02:37:34.134480
POLICIA MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,3,"S/. 1,300.00",28/02/2025,13/03/2025,3948ce8f-36ef-471d-bc64-260c8ed289e9,2025-03-01 02:37:34.134480
RESPONSABLE DE ADQUISICIONES Y CONTRATACIONES,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,500.00",28/02/2025,13/03/2025,91756659-98c6-4e0b-af28-00dbae547875,2025-03-01 02:37:34.134480
RESPONSABLE DE PCA,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,800.00",28/02/2025,13/03/2025,1a32c912-4736-4794-b56a-ba329ad2ac7c,2025-03-01 02:37:34.134480
RESPONSABLE DE RELLENO SANITARIO,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,f4acd95c-a791-4473-ad22-3d301426952e,2025-03-01 02:37:34.134480
RESPONSABLE DE ULE,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,800.00",28/02/2025,13/03/2025,8d8ec21f-d854-4ea7-bba6-f5f66448ebff,2025-03-01 02:37:34.134480
SUBGERENTE DE DESARROLLO AGROPECUARIO Y RIEGO,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,ba134cbc-c4f3-4568-b056-ba3fa4f31249,2025-03-01 02:37:34.134480
SUBGERENTE DE MANTENIMIENTO Y MAQUINARIA,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,eddac0e0-9ff5-4a17-96fe-f84c85557120,2025-03-01 02:37:34.134480
SUBGERENTE DE PROTECCION Y CONTROL AMBIENTAL,MUNICIPALIDAD PROVINCIAL DE CELENDIN,CAJAMARCA - CELENDIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,800.00",28/02/2025,13/03/2025,ed64ee31-8d59-474c-89a6-96b2aba33d6b,2025-03-01 02:37:34.134480
