posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
FISCALIZADOR-GERENCIA AGENCIA MAJES,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - MAJES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,500.00",21/02/2025,06/03/2025,660bad0c-e9e7-48e9-ba7c-6038c44d54a0,2025-02-23 02:33:46.858556
MONITOR DE GESTIÓN LOCAL,PROGRAMA NACIONAL DE ALIMENTACIÓN ESCOLAR QALI WARMA,AREQUIPA - SAN ANTONIO DE CHUCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-002,1,"S/. 2,500.00",21/02/2025,06/03/2025,3b07cc1d-c983-424f-b202-b60ddab3016c,2025-02-23 02:33:46.858556
RESPONSABLE DE PAPELETAS,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - MAJES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.00",21/02/2025,06/03/2025,ba4cf75c-bca2-43a5-ba71-fd65fc0cb796,2025-02-23 02:33:46.858556
JEFE DE LA OFICINA DE LOGISTICA,MUNICIPALIDAD DISTRITAL DE TUTI,AREQUIPA - TUTI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,000.00",21/02/2025,06/03/2025,306cea7e-e88f-4419-9001-50c4fe84d20b,2025-02-23 02:33:46.858556
JEFE DE LA OFICINA DE TESORERIA,MUNICIPALIDAD DISTRITAL DE TUTI,AREQUIPA - TUTI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,600.00",21/02/2025,06/03/2025,2df928b7-a02f-4b77-a46c-b0c9487802de,2025-02-23 02:33:46.858556
ABOGADO PARA LA GERENCIA MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",21/02/2025,06/03/2025,3414b307-020c-4b34-bd3f-559618f217e5,2025-02-23 02:33:46.858556
ADMINISTRADOR DE U.E. GENERACIÓN ELÉCTRICA,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,800.00",21/02/2025,06/03/2025,86b12db9-7922-4f42-b647-ec40209ff5f5,2025-02-23 02:33:46.858556
ASISTENTE ADMINISTRATIVO DEL PAD,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.00",21/02/2025,06/03/2025,672bfdf8-5e09-4878-8c90-914650c89688,2025-02-23 02:33:46.858556
ASISTENTE ADMINISTRATIVO PARA LA SUB GERENCIA DE SEGURIDAD PÚBLICA Y DEFENSA NACIONAL,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.00",21/02/2025,06/03/2025,e6ce6055-32bd-4453-9d0b-dee00f5ffec1,2025-02-23 02:33:46.858556
ASISTENTE ADMINISTRATIVO- GERENCIA DE DESARROLLO URBANO Y RURAL,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.00",21/02/2025,06/03/2025,d2121228-c206-4505-89dd-9c0536cbd14c,2025-02-23 02:33:46.858556
ASISTENTE TÉCNICO ADMINISTRATIVO DE TESORERÍA,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,800.00",21/02/2025,06/03/2025,0682b026-647d-4e10-9fc2-71abad56e794,2025-02-23 02:33:46.858556
ASISTENTE LEGAL - GAJ,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",21/02/2025,06/03/2025,6eeee640-4d6f-44de-8b76-3f7a26e45c79,2025-02-23 02:33:46.858556
BRIGADISTA-SGDCDN,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,500.00",21/02/2025,06/03/2025,f5187321-f815-44ff-862d-100926a0fbdb,2025-02-23 02:33:46.858556
CONDUCTOR DE CAMIÓN VOLQUETE,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,200.00",21/02/2025,06/03/2025,8e31bfe1-296b-4238-8249-982695dc543b,2025-02-23 02:33:46.858556
ESPECIALISTA DE SIGA,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",21/02/2025,06/03/2025,e015e93a-9178-4a59-b42e-de2755aaf895,2025-02-23 02:33:46.858556
INSPECTOR-SGTCV,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,500.00",21/02/2025,06/03/2025,04be6111-bb61-4aeb-b8a9-63c02b9b8c30,2025-02-23 02:33:46.858556
MESA DE PARTES - SGL,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,500.00",21/02/2025,06/03/2025,3cff2949-74a1-42df-b53f-f6ee68ba7b03,2025-02-23 02:33:46.858556
NOTIFICADOR DE LA SGTCV,MUNICIPALIDAD PROVINCIAL DE CAYLLOMA,AREQUIPA - CHIVAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,500.00",21/02/2025,06/03/2025,4d05f4aa-1ef9-42cb-8e69-e9deb2a03e4d,2025-02-23 02:33:46.858556
