posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
ESPECIALISTA EN PROCESOS ADMINISTRATIVOS DISCIPLINARIOS - CPAD,UNIDAD DE GESTIÓN EDUCATIVA LOCAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,600.00",07/03/2025,20/03/2025,7179037e-d96b-440d-883c-68e66a51986a,2025-03-08 02:03:48.235559
CHOFER Y/O MECANICO AUTOMOTRIZ,GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-003,1,"S/. 1,200.00",07/03/2025,20/03/2025,a8acf7f1-2af6-44e7-aba5-3c942f6d43f0,2025-03-08 02:03:48.235559
MEDICO CIRUJANO,GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 5,200.00",07/03/2025,20/03/2025,40a9b69f-1de8-4dbb-b9dc-3010a1625d0e,2025-03-08 02:03:48.235559
ASESOR JURIDICO UGEL - ACOBAMBA,UNIDAD DE GESTIÓN EDUCATIVA LOCAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 5,000.00",07/03/2025,20/03/2025,eecac114-609a-4602-8f2b-f20ad94472ed,2025-03-08 02:03:48.235559
ESPECIALISTA EN PLANILLAS,UNIDAD DE GESTIÓN EDUCATIVA LOCAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - INDETERMINADO-1,1,"S/. 2,600.00",07/03/2025,20/03/2025,93dd87c1-7a14-4a02-bff4-22dfe5810c77,2025-03-08 02:03:48.235559
MEDICO CIRUJANO,GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-003,1,"S/. 5,200.00",07/03/2025,20/03/2025,5e4b665d-6a9f-4271-9223-0ea032046ab6,2025-03-08 02:03:48.235559
ESPECIALISTA EN CONTABILIDAD UGEL ACOBAMBA.,UNIDAD DE GESTIÓN EDUCATIVA LOCAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,600.00",07/03/2025,20/03/2025,4937f123-1319-40c8-a560-9862d02ea251,2025-03-08 02:03:48.235559
ESPECIALISTA DE CALIDAD DEL SERVICIO EDUCATIVO SUPERIOR TECNOLÓGICO,DIRECCION REGIONAL DE EDUCACION DE HUANCAVELICA,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,164.19",06/03/2025,19/03/2025,89ea16bf-eb0a-4dd1-8dd2-ff33c493908c,2025-03-08 02:03:48.235559
JEFE DE UNIDAD DE ABASTECIMIENTO Y CONTROL PATRIMONIAL,MUNICIPALIDAD DISTRITAL DE PILPICHACA,HUANCAVELICA - PILPICHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",06/03/2025,19/03/2025,b06026f4-da39-4c59-a9f4-27b59fa0421c,2025-03-08 02:03:48.235559
AUXILIAR EN EL ARCHIVO (CÓDIGO AIRHSP – 000806),GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 2,064.19",05/03/2025,18/03/2025,2c985f02-cf65-4d69-93fe-a598dd9daf38,2025-03-08 02:03:48.235559
