posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
ODONTOLOGO/A,UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DH,CUSCO - PICHARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 3,000.00",21/02/2025,06/03/2025,be38703f-5eb7-4a82-82e8-84814fd0dae3,2025-02-22 02:19:52.644454
PSICOLOGO,UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DH,CUSCO - PICHARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 3,000.00",21/02/2025,06/03/2025,a345bced-4630-441f-96f6-81375fbf0379,2025-02-22 02:19:52.644454
PERSONAL DE COCINA,UNIDAD DE GESTION EDUCATIVA PARURO,CUSCO - PACCARITAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,2,"S/. 1,414.19",21/02/2025,06/03/2025,a29aaf1c-139b-4ca1-a0aa-acbad64e8ab7,2025-02-22 02:19:52.644454
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA PARURO,CUSCO - PACCARITAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 1,289.19",21/02/2025,06/03/2025,484264aa-c05c-47d4-924f-8d1cb9eeed53,2025-02-22 02:19:52.644454
ESPECIALISTA EN RECURSOS HUMANOS,UNIDAD DE GESTION EDUCATIVA LOCAL DEL CUSCO,CUSCO - CUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 3,264.19",21/02/2025,06/03/2025,40a59ef3-703a-4d54-8370-98f5413a8d07,2025-02-22 02:19:52.644454
QUÍMICO FARMACÉUTICO,UNIDAD EJECUTORA 410: HOSPITAL DE QUILLABAMBA,CUSCO - SANTA ANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,564.19",21/02/2025,06/03/2025,701e8306-f5fd-401a-bfbd-53560ce191b2,2025-02-22 02:19:52.644454
TECNICO EN LABORATORIO,UNIDAD EJECUTORA 410: HOSPITAL DE QUILLABAMBA,CUSCO - SANTA ANA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,664.19",21/02/2025,06/03/2025,6089f459-84a5-4e50-93d9-4fb555d1f386,2025-02-22 02:19:52.644454
TECNICO ADMINISTRATIVO,UNIDAD EJECUTORA 410: HOSPITAL DE QUILLABAMBA,CUSCO - SANTA ANA,276-2,1,"S/. 1,227.00",21/02/2025,06/03/2025,a5304ab0-0bb2-4a61-b843-4d21530ea155,2025-02-22 02:19:52.644454
CORDINADOR DE CRFA,UNIDAD DE GESTION EDUCATIVA PARURO,CUSCO - RONDOCAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 3,464.19",21/02/2025,06/03/2025,a00ccd0e-674a-4243-addf-e76e7ea81ac1,2025-02-22 02:19:52.644454
RESPONSABLE DE BIENESTAR,UNIDAD DE GESTION EDUCATIVA PARURO,CUSCO - PARURO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,3,"S/. 2,764.19",21/02/2025,06/03/2025,e71c4dcd-bceb-4f38-9430-ede71cca264a,2025-02-22 02:19:52.644454
ESPECIALISTA EN SANIDAD VEGETAL I,SERVICIO NACIONAL DE SANIDAD AGRARIA,CUSCO - KIMBIRI,728-6,1,S/. 001.00,20/02/2025,05/03/2025,8ea4b4fa-3263-4433-87a1-1bb47fc57332,2025-02-22 02:19:52.644454
ASISTENTE ADMINISTRATIVO DE LA SUB GERENCIA DE DESARROLLO SOCIAL,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",20/02/2025,05/03/2025,bfc16526-eeed-44e7-bf2e-c7fb98694bb6,2025-02-22 02:19:52.644454
ASISTENTE ADMINISTRATIVO DE LA SUB GERENCIA DE GESTION AMBIENTAL Y TERRITORIALIDAD,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",20/02/2025,05/03/2025,d7adacc8-4a63-41a5-ba12-628ffb540d0e,2025-02-22 02:19:52.644454
"ASISTENTE DE SUB GERENCIA DE INFRAESTRUCTURA DESARROLLO RURAL, URBANO Y CATASTRO",MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,500.00",20/02/2025,05/03/2025,8f32423b-6dbd-41b2-b500-267effa7f4ed,2025-02-22 02:19:52.644454
ESPECIALISTA EN PLANEAMIENTO Y PRESUPUESTO,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,500.00",20/02/2025,05/03/2025,0e09be1b-bfe1-4e63-9190-934b52320484,2025-02-22 02:19:52.644454
JEFE DE SEGURIDAD CIUDADANA,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,500.00",20/02/2025,05/03/2025,22990967-9509-4cdb-871e-54e2cbd74ee8,2025-02-22 02:19:52.644454
JEFE DE UNIDAD DE ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,000.00",20/02/2025,05/03/2025,e37c9604-31c8-483c-8c6e-691aa9dbcb98,2025-02-22 02:19:52.644454
JEFE DE UNIDAD DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD DISTRITAL DE VELILLE,CUSCO - VELILLE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,500.00",20/02/2025,05/03/2025,ce4cbdb2-ff13-45a0-8c6d-2b5168d4f034,2025-02-22 02:19:52.644454
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS,PROGRAMA NACIONAL CUNA MAS,CUSCO - LLUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-113,1,"S/. 3,164.19",20/02/2025,05/03/2025,e3a7bdc0-9de0-4b38-ad35-9dad31efe1b0,2025-02-22 02:19:52.644454
ASESOR LEGAL,MUNICIPALIDAD DISTRITAL DE LARES,CUSCO - LARES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 5,000.00",20/02/2025,05/03/2025,46b91dae-e933-492c-ac24-f842b60dc03a,2025-02-22 02:19:52.644454
PROFESIONAL DE GERENCIA MUNICIPAL,MUNICIPALIDAD DISTRITAL DE LARES,CUSCO - LARES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 3,000.00",20/02/2025,05/03/2025,97b78e9b-4190-4730-a9a0-c3fea623d04e,2025-02-22 02:19:52.644454
RESPONSABLE DE MANTENIMIENTO DE OBRAS PUBLICAS,MUNICIPALIDAD DISTRITAL DE LARES,CUSCO - LARES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 4,000.00",20/02/2025,05/03/2025,22208cc8-eb11-4b50-b491-8fbde087eae1,2025-02-22 02:19:52.644454
ASISTENTE ADMINISTRATIVO,PROGRAMA NACIONAL CUNA MAS,CUSCO - SAN SEBASTIAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-129,1,"S/. 2,264.19",20/02/2025,05/03/2025,5bfee49b-df52-46a2-9bd7-c4c02d0940b8,2025-02-22 02:19:52.644454
BRIGADISTA DE INCLUSIÓN SOCIAL,ZONA REGISTRAL N X SEDE CUSCO,CUSCO - WANCHAQ,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-009,1,"S/. 3,000.00",20/02/2025,24/02/2025,3d8bcc5d-8b6e-4263-a7ee-6875b867de85,2025-02-22 02:19:52.644454
