posicion,empresa,ubicacion,num_conv,n_vac,salario,fecha_inicio,fecha_fin,id_uuid,fechaActualizacion
COORDINADOR DE INNOVACION Y SOPORTE TECNOLOGICO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,6,"S/. 1,614.19",28/02/2025,13/03/2025,32a10127-e4bc-4198-bf35-470a5a34fc34,2025-03-02 02:36:00.642739
SUPERVISOR GENERAL,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-07,3,"S/. 2,370.00",28/02/2025,13/03/2025,b869d9df-7fb7-42d7-a9ff-8ae2d8a1fafb,2025-03-02 02:36:00.642739
ESPECIALISTA DE CONVIVENCIA ESCOLAR DE LA UGEL,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 3,764.19",28/02/2025,13/03/2025,2e9f8da2-e09f-4eaa-862b-425edb30cedd,2025-03-02 02:36:00.642739
ESPECIALISTAS LEGAL PAS DE UGEL REGIONES,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-19,1,"S/. 5,264.19",28/02/2025,13/03/2025,bc67c150-734a-40a5-b505-f3c581d1836c,2025-03-02 02:36:00.642739
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,6,"S/. 1,414.19",28/02/2025,13/03/2025,f5ab3f21-7424-43cc-85ef-490f6155e365,2025-03-02 02:36:00.642739
PERSONAL DE LIMPIEZA Y MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-24,8,"S/. 1,414.19",28/02/2025,13/03/2025,235ea36b-1a3c-49ba-8216-5c34b5f32239,2025-03-02 02:36:00.642739
PROFESIONAL II PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 3,064.19",28/02/2025,13/03/2025,97007280-0fc1-43cf-848f-762a9457e6f7,2025-03-02 02:36:00.642739
PROFESIONAL DE APOYO SAEI,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-18,2,"S/. 4,264.19",28/02/2025,13/03/2025,20d49f19-8726-4dc1-9151-f54bbdfea84b,2025-03-02 02:36:00.642739
PROFESIONAL EN PSICOLOGÍA,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,12,"S/. 2,764.19",28/02/2025,13/03/2025,fe527eec-31c3-41f0-834f-52042d06daf5,2025-03-02 02:36:00.642739
PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA PARA LOS PROGRAMAS DE INTERVENCIÓN TEMPRANA,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,1,"S/. 2,964.19",28/02/2025,13/03/2025,a2d2cae2-007c-4140-9961-404b677fd766,2025-03-02 02:36:00.642739
"PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA, OCUPACIONAL O DE LENGUAJE PARA CEBE",UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,2,"S/. 2,964.19",28/02/2025,13/03/2025,fdecb461-2d05-4d22-aec1-45820c60282b,2025-03-02 02:36:00.642739
SUPERVISORES UGEL REGIONES - ARTICULADOR,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-20,1,"S/. 4,764.19",28/02/2025,13/03/2025,ad52f8cd-515d-4995-968b-67abe04f282e,2025-03-02 02:36:00.642739
SUPERVISORES UGEL REGIONES - INFRAESTRUCTURA,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-21,1,"S/. 4,764.19",28/02/2025,13/03/2025,e2487c11-02d8-4bf8-b4fe-5fc65818fe70,2025-03-02 02:36:00.642739
SUPERVISORES UGEL REGIONES - LEGAL,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-22,1,"S/. 4,764.19",28/02/2025,13/03/2025,780a2b3d-7c89-4a5d-8fb3-dfd8a52f0cba,2025-03-02 02:36:00.642739
SUPERVISORES UGEL REGIONES - PEDAGOGÍA,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,1,"S/. 4,764.19",28/02/2025,13/03/2025,2d592cf9-0ebb-45d6-86c2-f7bcb77b93ce,2025-03-02 02:36:00.642739
TECNICO DEPORTIVO CAS DE NÚCLEO DE LA INICIATIVA PEDAGÓGICA WIÑAQ,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,2,"S/. 3,364.19",28/02/2025,13/03/2025,a2062169-df2d-4c38-aa74-b5f075a18d78,2025-03-02 02:36:00.642739
PERSONAL DE VIGILANCIA,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,10,"S/. 1,414.19",28/02/2025,13/03/2025,fa7062e4-23fd-4a2d-adae-eb027ac5df1e,2025-03-02 02:36:00.642739
PSICOLOGO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-12,8,"S/. 2,764.19",28/02/2025,13/03/2025,a8e66886-cbef-483c-a361-0b469f1e98f4,2025-03-02 02:36:00.642739
AUXILIAR ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,276-9,1,S/. 971.65,28/02/2025,13/03/2025,602dfa1d-2875-4586-b7bb-cf2cec2db8bd,2025-03-02 02:36:00.642739
JEFE DE DEPARTAMENTO DE ENFERMERIA,HOSPITAL NACIONAL DANIEL ALCIDES CARRION,CALLAO - BELLAVISTA,276-01,1,S/. 001.00,28/02/2025,13/03/2025,cc086556-0ead-4299-b998-5cebd4a463f4,2025-03-02 02:36:00.642739
AUXILIAR DE OFICINA,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-080,1,"S/. 1,500.00",28/02/2025,13/03/2025,3f5943ab-abab-460e-a8cd-9927d6a6325d,2025-03-02 02:36:00.642739
PROFESIONAL I PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-27,1,"S/. 3,064.19",28/02/2025,13/03/2025,57855d57-52ac-4741-aa84-c68fc54feae1,2025-03-02 02:36:00.642739
CHOFER,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-01,2,"S/. 1,540.00",28/02/2025,13/03/2025,2779c668-7b90-4187-b1e8-c342350dadbd,2025-03-02 02:36:00.642739
CHOFER II,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-02,1,"S/. 2,300.00",28/02/2025,13/03/2025,6a0c7eb3-f111-4e4e-a923-f155931d85da,2025-03-02 02:36:00.642739
OPERARIO,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-03,5,"S/. 1,200.00",28/02/2025,13/03/2025,2e4f0e32-5810-407c-b70d-c08dede6d288,2025-03-02 02:36:00.642739
OPERARIO I,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-04,3,"S/. 1,400.00",28/02/2025,13/03/2025,90e3badd-051f-4ab4-9000-ff5bede83984,2025-03-02 02:36:00.642739
OPERARIO III,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-05,25,"S/. 1,600.00",28/02/2025,13/03/2025,1326ac93-93a2-4727-9190-38c98222feee,2025-03-02 02:36:00.642739
OPERARIO IV,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,728-06,31,"S/. 1,770.00",28/02/2025,13/03/2025,2c8721e8-cbc4-4dd4-bf3e-de580337f754,2025-03-02 02:36:00.642739
COORDINADOR UGEL SAEE,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-17,1,"S/. 5,264.19",28/02/2025,13/03/2025,96d605e9-c80f-46ae-8947-9fceddace185,2025-03-02 02:36:00.642739
ESPECIALISTA JUDICIAL DE AUDIENCIA,PODER JUDICIAL,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 2,972.00",26/02/2025,11/03/2025,6af33d9c-850d-4f27-9bf4-0470b4088642,2025-03-02 02:36:00.642739
DISEÑADOR GRÁFICO,MARINA DE GUERRA DEL PERU,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-015,1,"S/. 2,500.00",26/02/2025,11/03/2025,285305f8-cdb5-407b-820c-93bc7463304c,2025-03-02 02:36:00.642739
ESPECIALISTA EN COMUNICACIÓN,MARINA DE GUERRA DEL PERU,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 5,000.00",26/02/2025,11/03/2025,f2d5e0f4-41b3-4bef-a542-706db50af2e0,2025-03-02 02:36:00.642739
TÉCNICO ESPECIALISTA EN MANTENIMIENTO Y REPARACIÓN DE LOS SISTEMAS DE ARMAS DE LAS UNIDADES NAVALES,MARINA DE GUERRA DEL PERU,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-012,1,"S/. 2,500.00",26/02/2025,11/03/2025,fb0a9a62-2273-43f1-b742-718528ec8bb2,2025-03-02 02:36:00.642739
ESPECIALISTA EN SISTEMAS,MARINA DE GUERRA DEL PERU,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 6,600.00",26/02/2025,11/03/2025,8712a07c-4522-4c51-b47d-60f714860e1b,2025-03-02 02:36:00.642739
TÉCNICO ESPECIALISTA EN OPERACIONES DE ENDEUDAMIENTO,MARINA DE GUERRA DEL PERU,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-017,1,"S/. 3,750.00",26/02/2025,11/03/2025,3c5e9f53-75e6-4219-beab-1228f838d345,2025-03-02 02:36:00.642739
ESPECIALISTA EN ABOGACIA,MARINA DE GUERRA DEL PERU,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 5,500.00",26/02/2025,11/03/2025,b7a13743-336b-48e4-af9f-0c04905a79c8,2025-03-02 02:36:00.642739
ESPECIALISTA EN PLANEAMIENTO Y PRESUPUESTO PÚBLICO,MARINA DE GUERRA DEL PERU,CALLAO - LA PERLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 5,550.00",26/02/2025,11/03/2025,6e02d025-659f-4dc2-bfce-c47df3022b68,2025-03-02 02:36:00.642739
ORIENTADOR(A) DE ATENCIÓN AL USUARIO,SUPERINTENDENCIA NACIONAL DE MIGRACIONES - MIGRACIONES,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-086,1,"S/. 2,000.00",25/02/2025,10/03/2025,82c83d84-49f9-4a88-8157-dead4f16c3d8,2025-03-02 02:36:00.642739
ASISTENTE TÉCNICO DE ARCHIVO,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,1,"S/. 3,000.00",24/02/2025,07/03/2025,b29f3ad8-276b-485b-b5a0-95bbd90f1fe1,2025-03-02 02:36:00.642739
